,original_Tweets,len,ID,Date,Source,Likes,RTs
0,Who’s the punk holding $xvg back,32,1382003660746600451,2021-04-13 16:12:03,Twitter for iPhone,0,0
1,RT @Bitcoin: #Bitcoin is in the top-10 of the world's M1 Money Supply. https://t.co/X2vqyPeLjY,94,1382003660197142532,2021-04-13 16:12:03,Twitter Web App,0,187
2,"RT @cryptovenizo: $50 in 24hrs

✓ RT this 
✓ Follow me and @rocketmanbsc

DM me to sponsor giveaway like this 🚀

#Bitcoin #BSC #NFT",131,1382003659374878723,2021-04-13 16:12:03,Twitter for Android,0,1026
3,"RT @WSBChairman: Tesla is up ~$1,000,000,000 from their investment in #Bitcoin",78,1382003655717629954,2021-04-13 16:12:02,Twitter for iPhone,0,307
4,"RT @steve_hanke: #BREAKING: #Bitcoin has surged ~3.7% in the past 24 hours to a new all-time high of $62.707/BTC. 

Just remember, Bitcoin…",139,1382003654547230720,2021-04-13 16:12:02,Twitter for iPhone,0,54
5,@AImas8706 @BadEconTakes bitcoin trading today at 1 btc per bitcoin. will circle back to see if this changes,108,1382003653989560321,2021-04-13 16:12:02,Twitter for iPhone,0,0
6,"@TrustWalletApp Bitcoin, Etherium, Dot and Ada",46,1382003652789993472,2021-04-13 16:12:01,Twitter for Android,0,0
7,"RT @cryptovenizo: $50 in 24hrs

✓ RT 
✓ Follow me and 
@topboycrypto

DM me to sponsor giveaway like this 🚀

#Bitcoin #BSC #NFT",127,1382003650940215304,2021-04-13 16:12:01,Twitter for Android,0,796
8,RT @binance: Like this tweet if you bought #Bitcoin under $60k,62,1382003650835275776,2021-04-13 16:12:01,Twitter Web App,0,858
9,"Well obviously. It’s a public blockchain. 

Everyone and I mean literally everyone can see your transactions. 

#bitcoin https://t.co/RhVs1fdg6C",144,1382003649279356928,2021-04-13 16:12:01,Twitter for iPhone,0,0
10,"@CReader19 @radigancarter Taking out a HELOC *is* effectively selling your kitchen, and it's much easier to do than securing Bitcoin for a decade. If you have had a mortgage for two decades, you have to actively decline refinance offers.",237,1382003648419528711,2021-04-13 16:12:00,TweetDeck,0,0
11,"RT @MattWallace888: Bitcoin just broke it’s all time record a few minutes ago.

Dogecoin is up next!",100,1382003647710699524,2021-04-13 16:12:00,Twitter for Android,0,236
12,"RT @cryptovenizo: $50 in 24hrs

✓ RT this 
✓ Follow me and @caramel_finance

DM me to sponsor giveaway like this 🚀

#Bitcoin #BSC #NFT",134,1382003647345610752,2021-04-13 16:12:00,Twitter for Android,0,355
13,So I just bought some doge and bitcoin.  Any other suggestions?  I have some extra cash to spend.,97,1382003645374464000,2021-04-13 16:12:00,Twitter Web App,0,0
14,"RT @cryptovenizo: $50 in 24hrs

✓ RT 
✓ Follow me and 
@topboycrypto

DM me to sponsor giveaway like this 🚀

#Bitcoin #BSC #NFT",127,1382003644619456519,2021-04-13 16:11:59,Twitter for Android,0,796
15,"RT @cryptovenizo: $50 in 24hrs

✓ RT this 
✓ Follow me and @caramel_finance

DM me to sponsor giveaway like this 🚀

#Bitcoin #BSC #NFT",134,1382003642723561474,2021-04-13 16:11:59,Twitter for Android,0,355
16,"RT @EmperorBTC: My Technical Analysis Book 💯

BITCOIN TRADING MANUAL

Read. Share. Implement. 

My Biggest work Yet. 

Please Share with Ev…",140,1382003641591201795,2021-04-13 16:11:59,Twitter for Android,0,564
17,"RT @ashwsbreal: Your entire life can really change in a
year.

you just gotta love yourself
enough to know you deserve more, 

be brave eno…",140,1382003639284195331,2021-04-13 16:11:58,Twitter for Android,0,39
18,RT @binance: Like this tweet if you bought #Bitcoin under $60k,62,1382003637900038148,2021-04-13 16:11:58,Twitter for Android,0,858
19,"RT @Gemini: #Bitcoin hit another all-time-high! Happy Tuesday, #crypto fam🚀 https://t.co/7CCmQtSmPX",99,1382003637812142090,2021-04-13 16:11:58,Twitter Web App,0,53
20,Oh well good morning #Bitcoin ATH how are you this morning? https://t.co/D5jKuNBQm1,83,1382003636952166405,2021-04-13 16:11:58,Twitter for iPhone,0,0
21,@Bitcoin_K_S_A Definitely by the end of this year! 👀 on egld 🔥,62,1382003636486684680,2021-04-13 16:11:57,Twitter for Android,0,0
22,"RT @BamSK4: $JASMY Deposit and Trading Contest

💸 13,300 JASMY giveaway!

💰 Trading fee 10% off for new user
📲 Use this link 👉 https://t.co…",140,1382003634351788035,2021-04-13 16:11:57,Testeregr,0,58
23,1 full Bitcoin is a STUNT! https://t.co/byO47Y7onO,50,1382003634137878538,2021-04-13 16:11:57,Twitter for iPhone,0,0
24,"RT @EmperorBTC: My Technical Analysis Book 💯

BITCOIN TRADING MANUAL

Read. Share. Implement. 

My Biggest work Yet. 

Please Share with Ev…",140,1382003632523120642,2021-04-13 16:11:57,Twitter Web App,0,564
25,"RT @cryptovenizo: $50 in 24hrs

✓ RT 
✓ Follow me and 
@topboycrypto

DM me to sponsor giveaway like this 🚀

#Bitcoin #BSC #NFT",127,1382003629889105920,2021-04-13 16:11:56,Twitter for Android,0,796
26,RT @pesa_africa: BREAKING: I just met and sat with the executive board of a regulated financial institution in Kenya 🇰🇪 that wants to get i…,140,1382003628781748225,2021-04-13 16:11:56,Twitter Web App,0,40
27,RT @BlockFi: Today is a good day to text your friends and tell them you were right about Bitcoin. Bonus points for screenshots 📸,128,1382003625749139462,2021-04-13 16:11:55,Twitter for iPhone,0,4
28,"RT @Joe_Saz: Alright guys $200 #Bitcoin supply shock giveaway. You guys always mention the supply shock, well here’s some free #BTC for ya!…",140,1382003619348684802,2021-04-13 16:11:53,Twitter for Android,0,4970
29,"RT @trader1sz: If you missed #Bitcoin for Ledges live stream, you can catch the recording here.

Covered: $BTC $ETH $LTC $SRM

https://t.co…",140,1382003618388312066,2021-04-13 16:11:53,Twitter Web App,0,9
30,"RT @Bitboy_Crypto: EMERGENCY: If you bank with @SunTrust or @BBT they will BAN your account for ANY @coinbase transactions.

Not only that,…",140,1382003617947914243,2021-04-13 16:11:53,Twitter Web App,0,11002
31,"$BTC has now surpassed the $63K mark. In recent data by https://t.co/yFMoieKwAX., $BTC is now at $63,418. $ETH is on the other hand is now at $2,269.
#BTC #Bitcoin #Ethereum #AllTimeHigh",186,1382003617108946949,2021-04-13 16:11:53,Twitter Web App,0,0
32,RT @SquawkCNBC: .@TIME is partnering with @Grayscale to produce a new education crypto video series and TIME will be paid for the series in…,140,1382003617062916098,2021-04-13 16:11:53,Twitter for Mac,0,359
33,"RT @AirdropDet: 🔍 New #Airdrop: EdxSwap

💲 Total reward: 10 EDX [~$50]

🔴 Visit the airdrop form: https://t.co/DR5mB1cllP

🔘 Do the tasks o…",140,1382003616400039937,2021-04-13 16:11:53,Twitter for Android,0,3411
34,RT @kucoincom: #Bitcoin New All Time High! 🚀🚀🚀 https://t.co/usOnnxmRRF,70,1382003615745761283,2021-04-13 16:11:53,Twitter for Android,0,98
35,"RT @Cryptojo54: You miss 100% of the shots you don't take.""
COME JOIN ME @decentralgames 
Let's hit the tables, have fun,music earn $DG wit…",140,1382003615284477960,2021-04-13 16:11:52,arjiebharjie,0,1
36,RT @dougboneparth: Bitcoin was invented so that Millennials could afford $750 cups of coffee in the future.,107,1382003614365835264,2021-04-13 16:11:52,Twitter for Android,0,114
37,"RT @APompliano: $63,000.

Bitcoin has hit a new all-time high.",62,1382003613661339651,2021-04-13 16:11:52,Twitter for iPhone,0,674
38,"RT @SquawkCNBC: ""They tried to ignore it to make it go away. Jamie Dimon will tell you that,"" says @GOPLeader on #bitcoin. ""This is somethi…",140,1382003611379634179,2021-04-13 16:11:51,Twitter for Android,0,409
